StateAbbr,CountyName,TractFIPS,CHD_CrudePrev,CHD_Crude95CI
TX,Bexar,48029131615,4.5,"( 4.0,  5.0)"
TX,Bexar,48029131616,5.4,"( 4.8,  6.0)"
TX,Bexar,48029131700,1.7,"( 1.5,  1.9)"
TX,Bexar,48029131801,6.8,"( 6.1,  7.6)"
TX,Bexar,48029131802,6.0,"( 5.4,  6.7)"
TX,Bexar,48029140100,6.8,"( 6.0,  7.6)"
TX,Bexar,48029140200,7.1,"( 6.2,  8.2)"
TX,Bexar,48029140300,9.0,"( 7.9, 10.3)"
TX,Bexar,48029140400,5.8,"( 5.0,  6.6)"
TX,Bexar,48029140500,7.9,"( 6.9,  8.9)"
TX,Bexar,48029140600,8.2,"( 7.2,  9.2)"
TX,Bexar,48029140700,7.4,"( 6.6,  8.3)"
TX,Bexar,48029140800,7.9,"( 6.9,  8.9)"
TX,Bexar,48029140900,8.4,"( 7.4,  9.5)"
TX,Bexar,48029141000,7.8,"( 7.0,  8.7)"
TX,Bexar,48029141101,8.6,"( 7.7,  9.6)"
TX,Bexar,48029141102,7.9,"( 7.0,  8.9)"
TX,Bexar,48029141200,8.5,"( 7.6,  9.5)"
TX,Bexar,48029141300,7.2,"( 6.4,  8.0)"
TX,Bexar,48029141402,3.8,"( 3.3,  4.3)"
TX,Bexar,48029141403,6.4,"( 5.7,  7.1)"
TX,Bexar,48029141404,7.7,"( 6.8,  8.5)"
TX,Bexar,48029141600,5.0,"( 4.4,  5.7)"
TX,Bexar,48029141700,5.3,"( 4.8,  5.9)"
TX,Bexar,48029141800,6.9,"( 6.2,  7.6)"
TX,Bexar,48029141900,7.3,"( 6.5,  8.1)"
TX,Bexar,48029150100,5.6,"( 4.8,  6.4)"
TX,Bexar,48029150300,8.0,"( 7.1,  9.0)"
TX,Bexar,48029150400,7.6,"( 6.6,  8.5)"
TX,Bexar,48029150501,7.9,"( 7.0,  8.9)"
TX,Bexar,48029150502,7.4,"( 6.4,  8.4)"
TX,Bexar,48029150600,8.1,"( 7.2,  9.1)"
