StateAbbr,CountyName,TractFIPS,CHD_CrudePrev,CHD_Crude95CI
TX,Tarrant,48439105901,5.9,"( 5.2,  6.6)"
TX,Tarrant,48439105902,7.4,"( 6.6,  8.2)"
TX,Tarrant,48439106002,8.1,"( 7.1,  9.0)"
TX,Tarrant,48439106004,4.5,"( 4.0,  5.0)"
TX,Tarrant,48439106005,5.2,"( 4.6,  5.8)"
TX,Tarrant,48439106006,5.6,"( 4.9,  6.2)"
TX,Tarrant,48439106101,8.8,"( 7.8,  9.9)"
TX,Tarrant,48439106102,7.5,"( 6.6,  8.3)"
TX,Tarrant,48439106201,9.4,"( 8.3, 10.6)"
TX,Tarrant,48439106202,8.3,"( 7.4,  9.2)"
TX,Tarrant,48439106300,9.4,"( 8.4, 10.3)"
TX,Tarrant,48439106400,5.7,"( 5.1,  6.3)"
TX,Tarrant,48439106502,6.7,"( 5.9,  7.4)"
TX,Tarrant,48439106503,7.5,"( 6.7,  8.5)"
TX,Tarrant,48439106507,7.4,"( 6.4,  8.4)"
TX,Tarrant,48439106509,4.3,"( 3.8,  4.8)"
TX,Tarrant,48439106512,5.3,"( 4.7,  5.9)"
TX,Tarrant,48439106513,5.2,"( 4.6,  5.8)"
TX,Tarrant,48439106514,3.2,"( 2.8,  3.6)"
TX,Tarrant,48439106515,5.4,"( 4.8,  6.0)"
TX,Tarrant,48439106518,2.7,"( 2.4,  3.1)"
TX,Tarrant,48439106519,5.5,"( 4.8,  6.2)"
TX,Tarrant,48439106520,5.4,"( 4.8,  6.0)"
TX,Tarrant,48439106521,5.0,"( 4.4,  5.6)"
TX,Tarrant,48439106522,4.7,"( 4.2,  5.3)"
TX,Tarrant,48439106523,3.3,"( 2.9,  3.7)"
TX,Tarrant,48439106524,4.4,"( 3.9,  4.9)"
TX,Tarrant,48439106525,4.2,"( 3.8,  4.8)"
TX,Tarrant,48439106526,4.0,"( 3.5,  4.5)"
TX,Tarrant,48439106600,5.6,"( 4.9,  6.2)"
TX,Tarrant,48439106700,5.6,"( 4.9,  6.2)"
TX,Tarrant,48439110102,6.9,"( 6.1,  7.7)"
TX,Tarrant,48439110103,4.9,"( 4.3,  5.5)"
TX,Tarrant,48439110104,6.5,"( 5.7,  7.4)"
TX,Tarrant,48439110202,6.3,"( 5.5,  7.0)"
TX,Tarrant,48439110204,6.1,"( 5.4,  6.7)"
TX,Tarrant,48439110205,4.5,"( 4.0,  5.0)"
TX,Tarrant,48439110206,6.8,"( 6.0,  7.6)"
TX,Tarrant,48439110301,7.6,"( 6.7,  8.4)"
TX,Tarrant,48439110302,6.2,"( 5.5,  6.8)"
TX,Tarrant,48439110401,6.9,"( 6.1,  7.8)"
TX,Tarrant,48439110402,8.2,"( 7.3,  9.1)"
TX,Tarrant,48439110500,6.4,"( 5.6,  7.2)"
TX,Tarrant,48439110600,6.5,"( 5.7,  7.4)"
TX,Tarrant,48439110703,5.1,"( 4.5,  5.8)"
TX,Tarrant,48439110704,7.8,"( 6.9,  8.9)"
TX,Tarrant,48439110705,5.5,"( 4.8,  6.2)"
TX,Tarrant,48439110706,6.9,"( 6.1,  7.7)"
TX,Tarrant,48439110805,4.1,"( 3.6,  4.6)"
TX,Tarrant,48439110806,4.3,"( 3.7,  4.8)"
TX,Tarrant,48439110807,4.8,"( 4.3,  5.4)"
TX,Tarrant,48439110808,4.5,"( 3.9,  5.1)"
TX,Tarrant,48439110809,5.6,"( 4.8,  6.4)"
TX,Tarrant,48439110901,6.3,"( 5.5,  7.2)"
TX,Tarrant,48439110903,5.2,"( 4.5,  6.0)"
TX,Tarrant,48439110905,6.3,"( 5.5,  7.2)"
TX,Tarrant,48439110906,6.3,"( 5.4,  7.2)"
TX,Tarrant,48439110907,5.4,"( 4.8,  6.2)"
TX,Tarrant,48439111003,5.9,"( 5.2,  6.6)"
TX,Tarrant,48439111010,7.0,"( 6.2,  7.9)"
TX,Tarrant,48439111015,5.3,"( 4.7,  6.1)"
TX,Tarrant,48439111018,6.0,"( 5.3,  6.8)"
TX,Tarrant,48439111019,4.7,"( 4.1,  5.2)"
TX,Tarrant,48439111020,5.5,"( 4.9,  6.1)"
TX,Tarrant,48439111021,4.8,"( 4.3,  5.3)"
TX,Tarrant,48439111022,4.0,"( 3.5,  4.5)"
TX,Tarrant,48439111023,3.6,"( 3.2,  4.1)"
TX,Tarrant,48439111024,4.9,"( 4.4,  5.6)"
TX,Tarrant,48439111025,4.6,"( 4.1,  5.1)"
TX,Tarrant,48439111026,3.9,"( 3.5,  4.4)"
TX,Tarrant,48439111027,3.8,"( 3.3,  4.2)"
TX,Tarrant,48439111028,4.4,"( 3.9,  4.9)"
TX,Tarrant,48439111029,4.7,"( 4.2,  5.2)"
TX,Tarrant,48439111030,5.0,"( 4.4,  5.6)"
TX,Tarrant,48439111031,3.3,"( 2.9,  3.7)"
TX,Tarrant,48439111032,4.6,"( 4.1,  5.3)"
TX,Tarrant,48439111033,3.7,"( 3.3,  4.1)"
TX,Tarrant,48439111102,5.8,"( 5.1,  6.5)"
TX,Tarrant,48439111103,6.8,"( 6.1,  7.5)"
TX,Tarrant,48439111104,9.1,"( 8.0, 10.1)"
TX,Tarrant,48439111202,6.5,"( 5.8,  7.2)"
TX,Tarrant,48439111203,4.9,"( 4.4,  5.5)"
TX,Tarrant,48439111204,6.1,"( 5.4,  7.0)"
TX,Tarrant,48439111304,5.3,"( 4.5,  6.1)"
TX,Tarrant,48439111306,5.1,"( 4.5,  5.8)"
TX,Tarrant,48439111307,4.5,"( 4.0,  5.0)"
TX,Tarrant,48439111308,5.5,"( 4.9,  6.2)"
TX,Tarrant,48439111309,4.9,"( 4.3,  5.5)"
TX,Tarrant,48439111311,4.2,"( 3.7,  4.7)"
TX,Tarrant,48439111312,5.8,"( 5.0,  6.7)"
TX,Tarrant,48439111314,3.5,"( 3.1,  3.9)"
TX,Tarrant,48439111315,3.8,"( 3.4,  4.3)"
TX,Tarrant,48439111316,3.1,"( 2.7,  3.4)"
TX,Tarrant,48439111317,7.1,"( 6.3,  7.9)"
TX,Tarrant,48439111318,6.0,"( 5.4,  6.7)"
