variable,lag,I,expected_I,se_I,p_sim
E_DIABETES,1,0.19961530985283607,-0.00032030749519538755,0.006088676842992151,0.001
E_DIABETES,2,-0.006703538910127044,-0.00032030749519538755,0.004262424166956025,0.044
E_DIABETES,3,-0.005524446572551555,-0.00032030749519538755,0.0031970562570261415,0.036
E_DIABETES,4,0.0025916988757643017,-0.00032030749519538755,0.002915032437665587,0.139
E_DIABETES,5,0.0056524736097289035,-0.00032030749519538755,0.002692350102959241,0.019
E_DIABETES,6,0.005655393510005208,-0.00032030749519538755,0.002524102095883393,0.018
E_CHD,1,0.1990408979155448,-0.00032030749519538755,0.006360917669347064,0.001
E_CHD,2,-0.008159777266744694,-0.00032030749519538755,0.004207208825905217,0.022
E_CHD,3,-0.007208996559700948,-0.00032030749519538755,0.0034006296361889484,0.01
E_CHD,4,0.0012395532497134953,-0.00032030749519538755,0.0028445190783553754,0.251
E_CHD,5,0.004492710348328357,-0.00032030749519538755,0.002576577806332531,0.041
E_CHD,6,0.0044799564852039285,-0.00032030749519538755,0.0025284909210668855,0.033
walking_ind,1,0.6931842797101965,-0.00032030749519538755,0.006529686908786669,0.001
walking_ind,2,0.5613688908089658,-0.00032030749519538755,0.004467158509478463,0.001
walking_ind,3,0.45166820187007234,-0.00032030749519538755,0.0033738274207968325,0.001
walking_ind,4,0.31831315361937057,-0.00032030749519538755,0.002921381175577174,0.001
walking_ind,5,0.2088842656319859,-0.00032030749519538755,0.0026787283384470963,0.001
walking_ind,6,0.1258850625060555,-0.00032030749519538755,0.0026112150835415618,0.001
below_200_fed_poverty_percentage,1,0.2150451325688404,-0.00032030749519538755,0.006472123252644319,0.001
below_200_fed_poverty_percentage,2,0.014255505688234148,-0.00032030749519538755,0.004180170478532281,0.004
below_200_fed_poverty_percentage,3,0.012429734159616738,-0.00032030749519538755,0.0034021609435581288,0.001
below_200_fed_poverty_percentage,4,0.009816150899191505,-0.00032030749519538755,0.002930469288738958,0.002
below_200_fed_poverty_percentage,5,0.010277832600868222,-0.00032030749519538755,0.0026906538779144884,0.001
below_200_fed_poverty_percentage,6,0.005035379625508928,-0.00032030749519538755,0.002545591946853141,0.039
uninsured,1,0.22333072080145983,-0.00032030749519538755,0.006227985035961111,0.001
uninsured,2,0.003833223010464504,-0.00032030749519538755,0.00440639223170504,0.16
uninsured,3,0.001995794537534965,-0.00032030749519538755,0.0034472543706896928,0.234
uninsured,4,0.004354565039448353,-0.00032030749519538755,0.0028932301560791567,0.066
uninsured,5,0.008828741839226018,-0.00032030749519538755,0.002511106220724461,0.001
uninsured,6,0.00807719828192194,-0.00032030749519538755,0.002502546072038806,0.003
distance_to_nearest_uf,1,0.8947029996429757,-0.00032030749519538755,0.00616888477953998,0.001
distance_to_nearest_uf,2,0.7184869686725807,-0.00032030749519538755,0.004255670599044551,0.001
distance_to_nearest_uf,3,0.4930216426061004,-0.00032030749519538755,0.0033506280972058393,0.001
distance_to_nearest_uf,4,0.3040961463439986,-0.00032030749519538755,0.0027765101676065634,0.001
distance_to_nearest_uf,5,0.17576771544475794,-0.00032030749519538755,0.002661730143762422,0.001
distance_to_nearest_uf,6,0.06889229011268322,-0.00032030749519538755,0.0026132675649666614,0.001
distance_to_nearest_grocery,1,0.3646586998857992,-0.00032030749519538755,0.006219650866351468,0.001
distance_to_nearest_grocery,2,0.20179647374854598,-0.00032030749519538755,0.004245470865525522,0.001
distance_to_nearest_grocery,3,0.11289320773023685,-0.00032030749519538755,0.0032714005785898443,0.001
distance_to_nearest_grocery,4,0.055590827063354546,-0.00032030749519538755,0.0028761555266394803,0.001
distance_to_nearest_grocery,5,0.03936562045347841,-0.00032030749519538755,0.002612333412219898,0.001
distance_to_nearest_grocery,6,0.027569445513325005,-0.00032030749519538755,0.002530000490491695,0.001
distance_to_nearest_fm,1,0.9004841757616475,-0.00032030749519538755,0.006145249053585046,0.001
distance_to_nearest_fm,2,0.7381583231469677,-0.00032030749519538755,0.004379552913769191,0.001
distance_to_nearest_fm,3,0.5246467111765943,-0.00032030749519538755,0.0034698550550055552,0.001
distance_to_nearest_fm,4,0.35598427087695655,-0.00032030749519538755,0.002920983681982578,0.001
distance_to_nearest_fm,5,0.21094030857920623,-0.00032030749519538755,0.002718511237239002,0.001
distance_to_nearest_fm,6,0.09381607329853577,-0.00032030749519538755,0.002631016363374666,0.001
