,StateAbbr,CountyName,TractFIPS,DIABETES_CrudePrev,DIABETES_Crude95CI,CHD_CrudePrev,diabetes_pct_rank,chd_pct_rank,raw_composite_rank,final_health_composite
0,TX,Harris,48201100001,7.3,"( 6.3,  8.3)",3.1,0.05765765765765766,0.06171171171171171,0.059684684684684686,0.054954954954954956
1,TX,Harris,48201210400,19.5,"(17.3, 21.7)",7.8,0.9004504504504505,0.9216216216216216,0.9110360360360361,0.9144144144144144
2,TX,Harris,48201210500,19.2,"(16.9, 21.5)",7.7,0.8927927927927928,0.9148648648648648,0.9038288288288288,0.9108108108108108
3,TX,Harris,48201210600,13.0,"(11.2, 14.9)",5.3,0.5076576576576577,0.4810810810810811,0.49436936936936937,0.5018018018018018
4,TX,Harris,48201210700,17.4,"(15.4, 19.5)",6.4,0.8027027027027027,0.7463963963963964,0.7745495495495496,0.7887387387387388
5,TX,Harris,48201210800,21.6,"(19.4, 24.0)",8.6,0.954954954954955,0.9581081081081081,0.9565315315315315,0.959009009009009
6,TX,Harris,48201210900,20.7,"(18.3, 23.1)",7.6,0.9337837837837838,0.9067567567567567,0.9202702702702703,0.922972972972973
7,TX,Harris,48201211000,23.6,"(21.2, 26.2)",8.9,0.9819819819819819,0.9702702702702702,0.976126126126126,0.9765765765765766
8,TX,Harris,48201211101,24.9,"(22.5, 27.8)",9.7,0.9932432432432432,0.986936936936937,0.9900900900900901,0.990990990990991
9,TX,Harris,48201211102,27.2,"(24.7, 30.1)",10.7,0.9981981981981982,0.9977477477477478,0.9979729729729729,0.9981981981981982
10,TX,Harris,48201211200,23.4,"(20.9, 26.0)",8.9,0.9801801801801802,0.9702702702702702,0.9752252252252251,0.9756756756756757
11,TX,Harris,48201211301,20.7,"(18.5, 23.0)",7.9,0.9337837837837838,0.9288288288288288,0.9313063063063063,0.9315315315315316
12,TX,Harris,48201211302,22.4,"(19.9, 25.0)",8.5,0.9671171171171171,0.9527027027027027,0.95990990990991,0.9626126126126127
13,TX,Harris,48201211400,12.2,"(10.7, 14.0)",4.4,0.44324324324324327,0.2756756756756757,0.35945945945945945,0.35405405405405405
14,TX,Harris,48201211501,20.3,"(18.2, 22.6)",7.8,0.9238738738738739,0.9216216216216216,0.9227477477477477,0.9261261261261261
15,TX,Harris,48201211502,19.5,"(17.4, 21.8)",7.7,0.9004504504504505,0.9148648648648648,0.9076576576576576,0.9117117117117117
16,TX,Harris,48201211600,21.9,"(19.7, 24.4)",8.6,0.9617117117117117,0.9581081081081081,0.9599099099099099,0.9608108108108108
17,TX,Harris,48201211700,21.1,"(18.9, 23.4)",7.8,0.945045045045045,0.9216216216216216,0.9333333333333333,0.9342342342342342
18,TX,Harris,48201211900,18.3,"(16.1, 20.5)",6.8,0.8472972972972973,0.809009009009009,0.8281531531531532,0.8382882882882883
19,TX,Harris,48201212300,17.0,"(15.0, 19.1)",6.7,0.777927927927928,0.7918918918918919,0.7849099099099099,0.8
20,TX,Harris,48201212400,22.5,"(20.0, 25.1)",9.1,0.9684684684684685,0.9761261261261261,0.9722972972972973,0.972072072072072
21,TX,Harris,48201212500,19.9,"(17.5, 22.2)",7.9,0.9112612612612613,0.9288288288288288,0.920045045045045,0.9216216216216216
22,TX,Harris,48201220100,20.5,"(18.3, 22.7)",7.5,0.9283783783783783,0.8972972972972973,0.9128378378378379,0.9166666666666666
23,TX,Harris,48201220200,20.1,"(17.7, 22.6)",7.9,0.918918918918919,0.9288288288288288,0.9238738738738739,0.9288288288288288
24,TX,Harris,48201220300,17.4,"(15.2, 19.6)",6.7,0.8027027027027027,0.7918918918918919,0.7972972972972974,0.8121621621621622
25,TX,Harris,48201220400,21.6,"(19.3, 24.0)",8.5,0.954954954954955,0.9527027027027027,0.9538288288288288,0.9558558558558559
26,TX,Harris,48201220500,24.3,"(21.8, 26.9)",10.7,0.9864864864864865,0.9977477477477478,0.9921171171171171,0.9927927927927928
27,TX,Harris,48201220600,17.9,"(15.9, 20.1)",6.7,0.8279279279279279,0.7918918918918919,0.8099099099099099,0.8207207207207208
28,TX,Harris,48201220701,22.0,"(19.8, 24.4)",8.6,0.9644144144144144,0.9581081081081081,0.9612612612612612,0.9648648648648649
29,TX,Harris,48201220702,24.8,"(22.3, 27.3)",10.5,0.9914414414414414,0.9963963963963964,0.9939189189189189,0.9954954954954955
30,TX,Harris,48201220800,19.7,"(17.7, 22.1)",7.5,0.9067567567567567,0.8972972972972973,0.902027027027027,0.909009009009009
31,TX,Harris,48201220900,21.6,"(19.2, 23.9)",8.6,0.954954954954955,0.9581081081081081,0.9565315315315315,0.959009009009009
32,TX,Harris,48201221000,23.3,"(20.8, 25.7)",9.2,0.9792792792792793,0.9774774774774775,0.9783783783783784,0.981081081081081
33,TX,Harris,48201221100,18.1,"(16.0, 20.4)",7.1,0.8328828828828829,0.8486486486486486,0.8407657657657658,0.8540540540540541
34,TX,Harris,48201221200,20.5,"(18.2, 22.7)",8.1,0.9283783783783783,0.94009009009009,0.9342342342342342,0.9364864864864865
35,TX,Harris,48201221301,16.9,"(14.9, 19.1)",6.4,0.7720720720720721,0.7463963963963964,0.7592342342342342,0.7711711711711712
36,TX,Harris,48201221302,18.2,"(16.0, 20.3)",6.8,0.8396396396396396,0.809009009009009,0.8243243243243243,0.8342342342342343
37,TX,Harris,48201221400,21.0,"(18.8, 23.3)",8.2,0.9405405405405406,0.9427927927927928,0.9416666666666667,0.9459459459459459
38,TX,Harris,48201221501,16.8,"(14.8, 18.9)",6.4,0.768918918918919,0.7463963963963964,0.7576576576576577,0.7702702702702703
