StateAbbr,CountyName,TractFIPS,CHD_CrudePrev,CHD_Crude95CI
TX,Travis,48453002325,5.3,"( 4.7,  6.0)"
TX,Travis,48453002326,1.4,"( 1.2,  1.6)"
TX,Travis,48453002327,2.2,"( 2.0,  2.5)"
TX,Travis,48453002403,4.2,"( 3.7,  4.8)"
TX,Travis,48453002407,3.8,"( 3.4,  4.2)"
TX,Travis,48453002409,3.7,"( 3.2,  4.2)"
TX,Travis,48453002410,4.6,"( 4.0,  5.2)"
TX,Travis,48453002411,5.8,"( 5.1,  6.6)"
TX,Travis,48453002412,4.6,"( 4.0,  5.3)"
TX,Travis,48453002413,4.8,"( 4.2,  5.4)"
TX,Travis,48453002419,4.0,"( 3.5,  4.5)"
TX,Travis,48453002422,3.7,"( 3.3,  4.2)"
TX,Travis,48453002423,3.7,"( 3.2,  4.2)"
TX,Travis,48453002424,5.0,"( 4.5,  5.7)"
TX,Travis,48453002430,4.0,"( 3.5,  4.5)"
TX,Travis,48453002432,3.4,"( 3.0,  3.8)"
TX,Travis,48453002434,6.7,"( 6.0,  7.4)"
TX,Travis,48453002436,5.7,"( 5.0,  6.3)"
TX,Travis,48453002437,3.3,"( 2.9,  3.7)"
TX,Travis,48453002438,2.9,"( 2.6,  3.3)"
TX,Travis,48453002439,3.9,"( 3.5,  4.4)"
TX,Travis,48453002440,3.7,"( 3.3,  4.2)"
TX,Travis,48453002441,3.4,"( 3.0,  3.9)"
TX,Travis,48453002442,4.6,"( 4.0,  5.2)"
TX,Travis,48453002443,1.9,"( 1.7,  2.2)"
TX,Travis,48453002444,4.2,"( 3.7,  4.7)"
TX,Travis,48453002445,3.3,"( 3.0,  3.7)"
TX,Travis,48453002446,7.8,"( 6.8,  8.9)"
TX,Travis,48453002447,4.2,"( 3.7,  4.8)"
TX,Travis,48453002448,2.9,"( 2.6,  3.3)"
TX,Travis,48453002449,4.1,"( 3.6,  4.6)"
TX,Travis,48453002450,5.0,"( 4.4,  5.6)"
TX,Travis,48453002451,2.2,"( 2.0,  2.5)"
TX,Travis,48453002452,4.3,"( 3.8,  4.8)"
TX,Travis,48453002453,3.9,"( 3.5,  4.4)"
TX,Travis,48453002500,4.2,"( 3.7,  4.8)"
TX,Travis,48453030000,5.0,"( 4.4,  5.8)"
TX,Travis,48453030100,4.2,"( 3.7,  4.9)"
TX,Travis,48453030200,4.7,"( 4.1,  5.4)"
TX,Travis,48453030300,5.7,"( 4.9,  6.6)"
TX,Travis,48453030400,3.7,"( 3.2,  4.2)"
TX,Travis,48453030500,3.7,"( 3.3,  4.2)"
TX,Travis,48453030600,4.2,"( 3.7,  4.8)"
TX,Travis,48453030700,5.1,"( 4.5,  5.8)"
TX,Travis,48453030800,3.1,"( 2.8,  3.5)"
TX,Travis,48453030900,4.6,"( 4.0,  5.3)"
TX,Travis,48453031000,3.3,"( 3.0,  3.8)"
TX,Travis,48453031100,5.9,"( 5.2,  6.8)"
TX,Travis,48453031200,4.5,"( 3.9,  5.1)"
TX,Travis,48453031300,3.8,"( 3.3,  4.3)"
TX,Travis,48453031400,5.9,"( 5.1,  6.8)"
TX,Travis,48453031500,4.8,"( 4.2,  5.4)"
TX,Travis,48453031600,5.3,"( 4.5,  6.2)"
TX,Travis,48453031700,4.5,"( 3.9,  5.1)"
TX,Travis,48453031800,5.1,"( 4.5,  5.7)"
TX,Travis,48453031900,3.5,"( 3.1,  3.9)"
TX,Travis,48453032000,3.6,"( 3.1,  4.1)"
TX,Travis,48453032100,2.8,"( 2.5,  3.1)"
TX,Travis,48453032200,5.5,"( 4.9,  6.4)"
TX,Travis,48453032300,2.1,"( 1.9,  2.4)"
