StateAbbr,CountyName,TractFIPS,DIABETES_CrudePrev,DIABETES_Crude95CI
TX,Collin,48085031414,8.3,"( 7.1,  9.7)"
TX,Collin,48085031415,9.9,"( 8.4, 11.6)"
TX,Collin,48085031416,8.7,"( 7.4, 10.0)"
TX,Collin,48085031417,8.1,"( 7.0,  9.4)"
TX,Collin,48085031418,8.5,"( 7.3,  9.9)"
TX,Collin,48085031419,8.4,"( 7.2,  9.8)"
TX,Collin,48085031420,15.0,"(12.6, 17.5)"
TX,Collin,48085031421,10.1,"( 8.7, 11.8)"
TX,Collin,48085031422,11.0,"( 9.5, 12.8)"
TX,Collin,48085031423,9.0,"( 7.7, 10.3)"
TX,Collin,48085031424,9.1,"( 7.8, 10.6)"
TX,Collin,48085031425,9.4,"( 8.1, 11.0)"
TX,Collin,48085031504,10.1,"( 8.7, 11.6)"
TX,Collin,48085031507,10.0,"( 8.6, 11.6)"
TX,Collin,48085031508,9.4,"( 8.1, 10.8)"
TX,Collin,48085031509,9.9,"( 8.5, 11.5)"
TX,Collin,48085031510,7.6,"( 6.5,  8.8)"
TX,Collin,48085031511,11.8,"(10.2, 13.6)"
TX,Collin,48085031512,10.5,"( 9.1, 11.9)"
TX,Collin,48085031611,11.0,"( 9.5, 12.6)"
TX,Collin,48085031613,10.3,"( 8.8, 11.9)"
TX,Collin,48085031621,11.4,"( 9.8, 13.1)"
TX,Collin,48085031622,11.2,"( 9.6, 12.9)"
TX,Collin,48085031623,10.1,"( 8.7, 11.7)"
TX,Collin,48085031624,12.1,"(10.5, 13.8)"
TX,Collin,48085031625,10.7,"( 9.0, 12.5)"
TX,Collin,48085031626,10.1,"( 8.6, 11.8)"
TX,Collin,48085031627,10.0,"( 8.4, 11.7)"
TX,Collin,48085031628,10.7,"( 9.3, 12.4)"
TX,Collin,48085031629,9.8,"( 8.4, 11.3)"
TX,Collin,48085031630,9.8,"( 8.5, 11.3)"
TX,Collin,48085031631,9.7,"( 8.4, 11.1)"
TX,Collin,48085031632,11.8,"(10.2, 13.5)"
TX,Collin,48085031633,9.9,"( 8.4, 11.5)"
TX,Collin,48085031634,10.2,"( 8.8, 11.8)"
TX,Collin,48085031635,9.9,"( 8.6, 11.3)"
TX,Collin,48085031636,9.5,"( 8.1, 11.0)"
TX,Collin,48085031639,8.9,"( 7.6, 10.3)"
TX,Collin,48085031641,9.2,"( 7.9, 10.8)"
TX,Collin,48085031642,10.6,"( 9.1, 12.2)"
TX,Collin,48085031643,10.1,"( 8.6, 11.6)"
TX,Collin,48085031645,8.7,"( 7.4, 10.1)"
TX,Collin,48085031646,9.0,"( 7.7, 10.5)"
TX,Collin,48085031647,8.2,"( 7.1,  9.5)"
TX,Collin,48085031649,8.8,"( 7.4, 10.2)"
TX,Collin,48085031654,10.1,"( 8.6, 11.7)"
TX,Collin,48085031655,9.3,"( 7.9, 10.7)"
TX,Collin,48085031657,5.6,"( 4.8,  6.5)"
TX,Collin,48085031659,7.7,"( 6.6,  8.9)"
TX,Collin,48085031660,6.5,"( 5.5,  7.6)"
TX,Collin,48085031661,8.6,"( 7.3, 10.1)"
TX,Collin,48085031662,9.5,"( 8.2, 11.1)"
TX,Collin,48085031663,9.5,"( 8.1, 11.1)"
TX,Collin,48085031664,10.9,"( 9.4, 12.6)"
TX,Collin,48085031665,8.1,"( 6.9,  9.4)"
TX,Collin,48085031666,9.2,"( 7.9, 10.6)"
TX,Collin,48085031667,10.3,"( 8.8, 12.0)"
TX,Collin,48085031668,9.1,"( 7.7, 10.5)"
TX,Collin,48085031669,7.3,"( 6.3,  8.5)"
TX,Collin,48085031670,5.8,"( 5.0,  6.8)"
TX,Collin,48085031671,5.7,"( 4.8,  6.7)"
TX,Collin,48085031672,7.0,"( 6.0,  8.1)"
TX,Collin,48085031673,7.3,"( 6.1,  8.7)"
TX,Collin,48085031674,9.0,"( 7.7, 10.4)"
TX,Collin,48085031675,8.6,"( 7.4, 10.1)"
TX,Collin,48085031676,8.9,"( 7.6, 10.4)"
TX,Collin,48085031677,10.7,"( 9.1, 12.4)"
TX,Collin,48085031678,12.0,"(10.3, 13.9)"
TX,Collin,48085031679,9.4,"( 8.0, 10.9)"
TX,Collin,48085031680,9.4,"( 8.0, 11.0)"
TX,Collin,48085031681,9.4,"( 8.1, 10.9)"
TX,Collin,48085031682,11.1,"( 9.6, 12.8)"
TX,Collin,48085031704,9.1,"( 7.8, 10.7)"
TX,Collin,48085031706,10.7,"( 9.1, 12.5)"
TX,Collin,48085031708,10.2,"( 8.8, 11.8)"
TX,Collin,48085031709,9.2,"( 7.8, 10.6)"
TX,Collin,48085031711,8.8,"( 7.6, 10.3)"
TX,Collin,48085031713,9.8,"( 8.5, 11.3)"
TX,Collin,48085031715,10.5,"( 9.0, 12.1)"
TX,Collin,48085031716,9.8,"( 8.5, 11.4)"
TX,Collin,48085031717,9.6,"( 8.3, 11.0)"
TX,Collin,48085031718,9.7,"( 8.3, 11.2)"
TX,Collin,48085031719,9.7,"( 8.3, 11.3)"
TX,Collin,48085031720,8.1,"( 7.1,  9.3)"
TX,Collin,48085031721,8.7,"( 7.5, 10.1)"
TX,Collin,48085031722,6.5,"( 5.5,  7.4)"
TX,Collin,48085031723,7.2,"( 6.2,  8.4)"
TX,Collin,48085031724,8.1,"( 7.0,  9.5)"
TX,Collin,48085031806,4.9,"( 4.2,  5.6)"
TX,Collin,48085031807,12.0,"(10.1, 14.1)"
TX,Collin,48085031808,10.1,"( 8.7, 11.7)"
TX,Collin,48085031809,7.3,"( 6.3,  8.3)"
TX,Collin,48085031810,6.5,"( 5.6,  7.6)"
TX,Collin,48085031811,8.5,"( 7.2,  9.7)"
TX,Collin,48085031812,10.4,"( 8.6, 12.7)"
TX,Collin,48085031813,3.6,"( 3.0,  4.2)"
TX,Collin,48085031814,10.7,"( 9.1, 12.4)"
TX,Collin,48085031815,7.8,"( 6.7,  9.0)"
TX,Collin,48085031816,8.6,"( 7.4, 10.0)"
TX,Collin,48085031901,11.2,"( 9.7, 12.8)"
TX,Collin,48085031902,9.3,"( 8.0, 10.7)"
TX,Collin,48085031903,5.6,"( 4.7,  6.4)"
TX,Collin,48085031904,4.4,"( 3.7,  5.1)"
TX,Collin,48085032003,15.4,"(13.5, 17.5)"
TX,Collin,48085032008,10.6,"( 9.1, 12.2)"
TX,Collin,48085032010,10.2,"( 8.8, 11.7)"
TX,Collin,48085032012,12.1,"(10.5, 13.8)"
TX,Collin,48085032013,9.1,"( 7.8, 10.4)"
TX,Collin,48085032014,11.5,"(10.0, 13.1)"
TX,Collin,48085032015,10.3,"( 8.8, 11.9)"
TX,Collin,48085032016,9.5,"( 8.1, 11.0)"
TX,Collin,48085032017,8.3,"( 7.1,  9.6)"
TX,Collin,48085032018,11.5,"( 9.9, 13.4)"
TX,Collin,48085032019,9.4,"( 8.0, 10.8)"
