Record_ID,Store_Name,Store_Street_Address,City,State,Zip_Code,County,Store_Type,Latitude,Longitude,ObjectId
1641514,Shop Your Way San Antonio,13900 Nacogdoches Rd,San Antonio,TX,78217,BEXAR,Grocery Store,29.566555,-98.385231,227000
1568151,Arlan's Market #17,3614 Pleasanton Rd,San Antonio,TX,78221,BEXAR,Supermarket,29.34317,-98.502876,231212
1570599,Ashiana Super Market,4139 Gardendale St,San Antonio,TX,78229,BEXAR,Other,29.522518,-98.56675,231324
1568139,Arlan's Market #16,340 Historic Old Hwy 90,San Antonio,TX,78237,BEXAR,Other,29.428377,-98.566772,231874
1591643,Porter Poultry & Egg Co ,5475 W US Highway 90,San Antonio,TX,78227,BEXAR,Grocery Store,29.408213,-98.598831,235100
1603996,Toro Texano Meat Market 1,7098 Bandera Rd,Leon Valley,TX,78238,BEXAR,Grocery Store,29.500971,-98.625916,239197
1613780,Mission Marquee Farmers And Artisan Market,3100 Roosevelt Ave,San Antonio,TX,78214,BEXAR,Farmers and Markets,29.364794,-98.477959,239319
1612057,Bismillah Market,4115 Gardendale St,San Antonio,TX,78229,BEXAR,Grocery Store,29.521935,-98.566216,239543
1657779,Taqwa Halal Market,2367 Austin Hwy,San Antonio,TX,78218,BEXAR,Grocery Store,29.508858,-98.410553,240764
1618358,Kabul International Food Market,8931 Wurzbach Rd,San Antonio,TX,78240,BEXAR,Grocery Store,29.525738,-98.568146,241876
1622034,Canyon Golf Market 1,26180 Canyon Golf Rd,San Antonio,TX,78260,BEXAR,Grocery Store,29.688446,-98.476433,242364
1606997,Soil Sisters Farmers Market NAFMNP,218 Garcia St,San Antonio,TX,78203,BEXAR,Farmers and Markets,29.416739,-98.443657,243394
1625373,N & N Asian Market,3203 Wurzbach Rd,San Antonio,TX,78238,BEXAR,Grocery Store,29.466486,-98.624268,245124
1127581,Sashas International  Market,8023 Callaghan Rd,San Antonio,TX,78230,BEXAR,Grocery Store,29.513845,-98.551315,246175
1510402,Al Madina Meat Market And Grill,9218 Wurzbach Rd,San Antonio,TX,78240,BEXAR,Grocery Store,29.527824,-98.564873,248046
1677654,HEB Food Store 807,15489 Culebra Rd,San Antonio,TX,78253,BEXAR,Supermarket,29.523596,-98.803764,251707
1680145,El Bocca,6941 San Pedro Ave,San Antonio,TX,78216,BEXAR,Grocery Store,29.506315,-98.500023,253326
1688587,San Antonio Food Bank,5200 Historic Old Hwy 90,San Antonio,TX,78227,BEXAR,Farmers and Markets,29.4168,-98.591637,255005
