,StateAbbr,CountyName,TractFIPS,DIABETES_CrudePrev,DIABETES_Crude95CI,CHD_CrudePrev,diabetes_pct_rank,chd_pct_rank,raw_composite_rank,final_health_composite
0,TX,Dallas,48113000100,6.5,"( 5.6,  7.5)",3.3,0.09097978227060653,0.13374805598755832,0.11236391912908242,0.1057542768273717
1,TX,Dallas,48113000201,6.4,"( 5.5,  7.4)",3.4,0.08475894245723173,0.14385692068429237,0.11430793157076205,0.10730948678071539
2,TX,Dallas,48113000202,6.0,"( 5.2,  6.9)",3.0,0.06920684292379471,0.11586314152410575,0.09253499222395023,0.08864696734059098
3,TX,Dallas,48113000300,5.6,"( 4.8,  6.5)",2.9,0.05054432348367029,0.1026438569206843,0.07659409020217729,0.07776049766718507
4,TX,Dallas,48113000401,11.1,"( 9.8, 12.6)",4.3,0.3864696734059098,0.2558320373250389,0.3211508553654744,0.30171073094867806
5,TX,Dallas,48113000405,9.4,"( 8.2, 10.7)",3.6,0.27216174183514774,0.16018662519440124,0.2161741835147745,0.18973561430793157
6,TX,Dallas,48113000407,12.1,"(10.7, 13.9)",5.1,0.4953343701399689,0.47433903576982894,0.4848367029548989,0.4758942457231726
7,TX,Dallas,48113000408,7.7,"( 6.7,  8.8)",3.8,0.14074650077760498,0.17884914463452567,0.15979782270606532,0.14930015552099535
8,TX,Dallas,48113000409,3.8,"( 3.3,  4.3)",1.4,0.017107309486780714,0.006998444790046656,0.012052877138413685,0.01088646967340591
9,TX,Dallas,48113000410,18.2,"(16.0, 20.4)",7.5,0.9370139968895801,0.9385692068429238,0.937791601866252,0.9447900466562986
10,TX,Dallas,48113000501,4.2,"( 3.6,  4.8)",1.8,0.02332814930015552,0.027993779160186624,0.02566096423017107,0.025660964230171075
11,TX,Dallas,48113000502,7.5,"( 6.4,  8.6)",4.5,0.13452566096423016,0.31026438569206843,0.2223950233281493,0.20295489891135304
12,TX,Dallas,48113000503,3.6,"( 3.1,  4.2)",1.6,0.013219284603421462,0.015552099533437015,0.014385692068429238,0.012441679626749611
13,TX,Dallas,48113000605,7.8,"( 6.7,  9.0)",4.5,0.14541213063763608,0.31026438569206843,0.22783825816485226,0.20917573872472783
14,TX,Dallas,48113000606,9.6,"( 8.3, 11.1)",6.1,0.2892690513219285,0.7706065318818041,0.5299377916018663,0.5287713841368584
15,TX,Dallas,48113000607,6.8,"( 5.9,  8.0)",3.7,0.1026438569206843,0.16796267496111975,0.13530326594090203,0.12752721617418353
16,TX,Dallas,48113000608,6.7,"( 5.8,  7.8)",3.4,0.09797822706065319,0.14385692068429237,0.12091757387247279,0.1119751166407465
17,TX,Dallas,48113000609,6.9,"( 6.0,  8.0)",3.4,0.10653188180404355,0.14385692068429237,0.12519440124416797,0.12286158631415241
18,TX,Dallas,48113000610,11.3,"( 9.9, 13.0)",4.5,0.4214618973561431,0.31026438569206843,0.36586314152410576,0.35069984447900465
19,TX,Dallas,48113000611,7.5,"( 6.5,  8.6)",3.3,0.13452566096423016,0.13374805598755832,0.13413685847589424,0.12597200622083982
20,TX,Dallas,48113000703,4.6,"( 3.9,  5.2)",2.3,0.027216174183514776,0.05598755832037325,0.04160186625194401,0.03576982892690513
21,TX,Dallas,48113000704,3.1,"( 2.6,  3.5)",1.4,0.006998444790046656,0.006998444790046656,0.006998444790046656,0.005443234836702955
22,TX,Dallas,48113000705,5.3,"( 4.6,  6.1)",2.5,0.042768273716951785,0.07465007776049767,0.05870917573872473,0.05598755832037325
23,TX,Dallas,48113000706,5.2,"( 4.5,  5.9)",3.0,0.03965785381026438,0.11586314152410575,0.07776049766718507,0.07931570762052877
24,TX,Dallas,48113000801,9.9,"( 8.6, 11.2)",3.9,0.3048211508553655,0.19828926905132194,0.2515552099533437,0.2332814930015552
25,TX,Dallas,48113000802,4.9,"( 4.3,  5.7)",1.9,0.029548989113530325,0.03421461897356143,0.031881804043545875,0.027993779160186624
26,TX,Dallas,48113000901,2.6,"( 2.3,  3.0)",1.2,0.003110419906687403,0.0023328149300155523,0.0027216174183514776,0.003110419906687403
27,TX,Dallas,48113000902,5.0,"( 4.3,  5.7)",2.1,0.03421461897356143,0.04432348367029549,0.039269051321928455,0.03421461897356143
28,TX,Dallas,48113001001,5.2,"( 4.5,  6.0)",2.4,0.03965785381026438,0.0645412130637636,0.052099533437014,0.045878693623639194
29,TX,Dallas,48113001002,5.6,"( 4.8,  6.4)",2.4,0.05054432348367029,0.0645412130637636,0.057542768273716946,0.05443234836702955
30,TX,Dallas,48113001101,5.5,"( 4.8,  6.3)",2.6,0.045878693623639194,0.08242612752721618,0.06415241057542768,0.06687402799377916
