Record_ID,Store_Name,Store_Street_Address,City,State,Zip_Code,County,Store_Type,Latitude,Longitude,ObjectId
1483513,Hisway African Grocery Store N/A,3507 Paintbrush Dawn Ct,Katy,TX,77493,HARRIS,Other,29.82268,-95.778107,175416
1492894,Tan Dinh Food Market,12760 Veterans Memorial Dr,Houston,TX,77014,HARRIS,Supermarket,29.97439,-95.487198,175981
1505319,Panaderia El Horno,4221 Jura Dr,Houston,TX,77084,HARRIS,Grocery Store,29.835915,-95.654343,177170
1653718,Maxey Cuba,505 Maxey Rd,Houston,TX,77013,HARRIS,Grocery Store,29.785913,-95.218086,177871
1499639,Pyburns Food Market,13824 Almeda Rd,Houston,TX,77053,HARRIS,Supermarket,29.606142,-95.422928,178713
1501918,District Market,3337 Cypress Creek Pkwy,Houston,TX,77068,HARRIS,Grocery Store,29.99803,-95.479935,179163
1536452,Afrik Kalabash Market,14929 Westpark Dr,Houston,TX,77082,HARRIS,Other,29.718088,-95.65274,180174
1587496,HEB Food Store 798,16000 Woodland Hills Dr,Humble,TX,77396,HARRIS,Supermarket,29.946228,-95.211884,180269
1469073,Panaderia Tierra Caliente 9,7610 Office City Dr,Houston,TX,77012,HARRIS,Grocery Store,29.700129,-95.286499,180878
1506076,Carniceria Mexico Lindo,6267 Highway 6 S,Houston,TX,77083,HARRIS,Grocery Store,29.710325,-95.642731,181240
1687679,El Encanto Cuban Market Llc,7710 Bellaire Blvd,Houston,TX,77036,HARRIS,Grocery Store,29.705606,-95.522362,182821
1538209,Gordon Food Service Store MP214,12553 Westheimer Rd,Houston,TX,77077,HARRIS,Supermarket,29.734695,-95.604271,183651
1538211,Gordon Food Service Store MP215,649 S Mason Rd,Katy,TX,77450,HARRIS,Supermarket,29.773605,-95.74987,183652
1538218,Gordon Food Service Store MP218,4601 Fm 1960 Rd W,Houston,TX,77069,HARRIS,Supermarket,29.98538,-95.499161,183656
1538220,Gordon Food Service Store MP219,5151 Antoine Dr,Houston,TX,77092,HARRIS,Supermarket,29.839878,-95.474785,183657
1538221,Gordon Food Service Store MP223,99 Braeswood Sq,Houston,TX,77096,HARRIS,Supermarket,29.678892,-95.47847,183658
1537402,Kosher Butcher,9846 Fondren Rd,Houston,TX,77096,HARRIS,Grocery Store,29.673563,-95.509827,183976
1487944,Nahim Trading Inc,630 Fm 1959 Rd,Houston,TX,77034,HARRIS,Grocery Store,29.594002,-95.180336,184525
1503946,Carnitas Y Barbacoa Los Compadres Meat Market,3604 W Baker Rd,Baytown,TX,77521,HARRIS,Grocery Store,29.771257,-95.003876,186070
1504887,Lule Umoja Store,12148 Fondren Rd,Houston,TX,77035,HARRIS,Grocery Store,29.647671,-95.508835,186218
1539212,Louanba Farm,12581 Dunlap St,Houston,TX,77035,HARRIS,Farmers and Markets,29.638964,-95.495277,187876
1672659,Variedades El Salvador,5801 Bissonnet St,Bellaire,TX,77401,HARRIS,Grocery Store,29.699827,-95.482635,187909
1191910,My Favorite Meat Market,14615 Old Humble Rd,Humble,TX,77396,HARRIS,Grocery Store,29.932964,-95.292,189010
1645589,Finca Tres Robles Farm Store,5715 Canal St,Houston,TX,77011,HARRIS,Other,29.744932,-95.316772,189437
993766,La Michoacana Meat Market 18,20300 Franz Rd,Katy,TX,77449,HARRIS,Supermarket,29.801601,-95.736031,189645
1509844,Islazul Cuban Market Llc,2128 Fm 1960 Rd E,Houston,TX,77073,HARRIS,Grocery Store,30.024275,-95.394081,190281
1509901,Ramadan Meat Market Inc,4750 Fm 1960 Rd W,Houston,TX,77069,HARRIS,Grocery Store,29.985783,-95.503197,190298
1509924,Texas African Grocery Store,10814 S Gessner Rd,Houston,TX,77071,HARRIS,Grocery Store,29.661802,-95.528954,190303
1151503,La Esperanza Meat Market 2,14230 State Highway 249,Houston,TX,77086,HARRIS,Grocery Store,29.924152,-95.498573,190884
1682130,Hd Food Market 1,10625 Veterans Memorial Dr,Houston,TX,77038,HARRIS,Grocery Store,29.933493,-95.457741,191205
1189333,East End Market,2600 Navigation Blvd,Houston,TX,77003,HARRIS,Farmers and Markets,29.757648,-95.343452,191845
1490647,Mini Indian Fiesta,6415 Hillcroft St,Houston,TX,77081,HARRIS,Grocery Store,29.713045,-95.494064,192166
1510966,Kabul Grocery,6502 Bellaire Blvd,Houston,TX,77074,HARRIS,Grocery Store,29.70586,-95.497635,192353
1548370,La Michoacana Supermarket #24,5015 Katy Hockley Rd,Katy,TX,77493,HARRIS,Grocery Store,29.846071,-95.823708,192750
1548424,La Michoacana Supermarket #23,6811 Bellfort St,Houston,TX,77087,HARRIS,Grocery Store,29.668709,-95.309402,192858
1541907,Bud's House Of Meat,6730 Cullen Blvd,Houston,TX,77021,HARRIS,Super Store,29.689917,-95.353836,193079
1511619,Muhajir Grocery Store,5880 Ranchester Dr,Houston,TX,77036,HARRIS,Grocery Store,29.714535,-95.548698,193902
1511631,Los Pipiles Bakery & Cafe,12033 Veterans Memorial Dr,Houston,TX,77067,HARRIS,Grocery Store,29.958858,-95.47715,193918
1062646,La Michoacana Meat Market 58,9223 Stella Link Rd,Houston,TX,77025,HARRIS,Other,29.681583,-95.439156,194320
1694076,GUERRERO MEAT MARKET,1940 Fry Rd,Houston,TX,77084,HARRIS,Grocery Store,29.794945,-95.718605,195030
1474432,Savoy Supermarket,11246 S Wilcrest Dr,Houston,TX,77099,HARRIS,Other,29.658033,-95.571342,195754
941931,El Ahorro Supermarket 15,6910 Capitol St,Houston,TX,77011,HARRIS,Supermarket,29.734875,-95.304329,197865
1203879,Orem Food Market,4411 W Orem Dr,Houston,TX,77045,HARRIS,Grocery Store,29.627542,-95.445229,198117
1142610,Chepes Meat Market,17966 Roberts Rd,Hockley,TX,77447,HARRIS,Other,30.035721,-95.815308,198743
1586778,Bangla Bazar,13442 Bellaire Blvd,Houston,TX,77083,HARRIS,Grocery Store,29.704222,-95.621811,198789
838233,EL AHORRO SUPERMARKET 5,4725 Telephone Rd,Houston,TX,77087,HARRIS,Super Store,29.691751,-95.298767,200238
1003941,Phoenicia Specialty Foods,1001 Austin St,Houston,TX,77010,HARRIS,Super Store,29.754515,-95.36142,201137
1273978,Lmmm Houston 62 Ltd 62,13430 Fm 529 Rd,Houston,TX,77041,HARRIS,Supermarket,29.879513,-95.614388,201160
1031307,Panchos Meat Market 7,4351 S Kirkwood Rd,Houston,TX,77072,HARRIS,Grocery Store,29.70929,-95.587593,201262
