Record_ID,Store_Name,Store_Street_Address,City,State,Zip_Code,Zip4,County,Store_Type,Latitude,Longitude,ObjectId
700028,TOM THUMB  2544,10455 N Central Expy,Dallas,TX,75231,2213,DALLAS,Supermarket,32.888847,-96.771912,53147
1000836,Natural Grocers By Vitamin Cottage U045,9440 Garland Rd,Dallas,TX,75218,3461,DALLAS,Supermarket,32.831966,-96.700912,54065
667751,TOM THUMB 3637,1380 W Campbell Rd,Richardson,TX,75080,2814,DALLAS,Supermarket,32.980186,-96.76693,56325
669581,JERRYS SUPERMARKET #1,1719 Singleton Blvd,Dallas,TX,75212,3856,DALLAS,Supermarket,32.778728,-96.847191,56476
789363,La Michoacana Meat Market 26,3500 N Belt Line Rd Ste 110,Irving,TX,75062,7803,DALLAS,Super Store,32.854008,-96.991135,57222
787964,Walmart SUPERCENTER 3432,951 W Belt Line Rd,Desoto,TX,75115,3741,DALLAS,Super Store,32.592823,-96.879791,57783
813639,TARGET STORE T 2243,5270 S State Highway 360,Grand Prairie,TX,75052,8307,DALLAS,Super Store,32.643097,-97.059959,57856
736759,Walmart NEIGHBORHOOD MARKET #3341 3341,2305 N Central Expy,Dallas,TX,75204,3800,DALLAS,Super Store,32.800842,-96.793503,58741
1423685,Abeba Foods,6882 Shadybrook Ln,Dallas,TX,75231,6502,DALLAS,Grocery Store,32.871056,-96.762566,60684
832356,ASAFO Market,2905 Arkansas Ln,Grand Prairie,TX,75052,7620,DALLAS,Grocery Store,32.705956,-97.04895,61298
916592,Patel Brothers,1009 W Rochelle Rd,Irving,TX,75062,5436,DALLAS,Super Store,32.845169,-96.957993,62376
916992,Target Store 2572,1629 N Town East Blvd,Mesquite,TX,75150,4193,DALLAS,Super Store,32.813953,-96.621307,62736
833399,La Michoacana Meat Market 28,2432 N FITZHUGH,DALLAS,TX,75204,    ,DALLAS,Other,32.81189,-96.782822,63594
853054,El Rancho 1615,10020 Marsh Ln,Dallas,TX,75229,6081,DALLAS,Super Store,32.881378,-96.856071,63687
852732,EL CENTRO SUPERMARKET,8231 Park Ln,Dallas,TX,75231,6022,DALLAS,Grocery Store,32.871887,-96.763206,63863
834503,LA MICHOACANA MEAT MARKET,202 W Pioneer Pkwy,Grand Prairie,TX,75051,4945,DALLAS,Supermarket,32.709618,-97.005432,64557
918646,Texas King Irving zabiha halal meat,3455 N Belt Line Rd,Irving,TX,75062,7823,DALLAS,Supermarket,32.853935,-96.993599,65028
749838,LA MICHOACANA MEAT MARKET 23,2114 W Kingsley Rd,Garland,TX,75041,4133,DALLAS,Supermarket,32.87785,-96.658691,65222
673886,Wrights Family Food,1050 S Belt Line Rd,Dallas,TX,75253,5001,DALLAS,Other,32.686996,-96.58918,65672
673987,KROGER 557,6850 N SHILOH ROAD,GARLAND,TX,75044,    ,DALLAS,Super Store,32.977314,-96.663826,65719
917801,Sprouts Farmers Market 113,362 E Fm 1382,Cedar Hill,TX,75104,6024,DALLAS,Supermarket,32.592899,-96.93795,65737
1286442,Walmart 5824,1951 MILITARY PKWY,MESQUITE,TX,75149,    ,DALLAS,Super Store,32.769215,-96.628494,66805
752667,LA AZTECA MEAT MARKET 6,2712 W Irving Blvd,Irving,TX,75061,4235,DALLAS,Other,32.829426,-96.982956,70299
923743,Costco Wholesale 0636,250 W Highway 67,Duncanville,TX,75137,4415,DALLAS,Super Store,32.621494,-96.909515,73497
951142,Aldi 20,2926 S Buckner Blvd,Dallas,TX,75227,6907,DALLAS,Supermarket,32.762135,-96.682602,75726
951145,Aldi 29,1518 Buckingham Rd,Garland,TX,75042,4203,DALLAS,Supermarket,32.931229,-96.697456,75737
951151,Aldi 30,9779 Forest Ln,Dallas,TX,75243,5701,DALLAS,Supermarket,32.909599,-96.71859,75743
951152,Aldi 56,2440 W Illinois Ave,Dallas,TX,75233,1106,DALLAS,Supermarket,32.719368,-96.858192,75749
941384,Aldi 54,1601 W Northwest Hwy,Garland,TX,75041,5232,DALLAS,Supermarket,32.864193,-96.652092,76305
1656789,Sam's Club 4925,2218 Greenville Ave,Dallas,TX,75206,7122,DALLAS,Super Store,32.816544,-96.769455,76460
941431,Aldi 72,8034 Chrysalis Dr,Dallas,TX,75237,3613,DALLAS,Supermarket,32.649277,-96.858665,76503
938751,Whole Foods Market 10239,8190 Park Ln,Dallas,TX,75231,5908,DALLAS,Super Store,32.869167,-96.768326,76866
941188,Aldi 16,3635 Gus Thomasson Rd,Mesquite,TX,75150,3630,DALLAS,Supermarket,32.813343,-96.636688,76947
944728,Aldi 23,13548 Preston Rd,Dallas,TX,75240,5212,DALLAS,Supermarket,32.932446,-96.80349,79834
944729,Aldi 35,5828 Abrams Rd,Dallas,TX,75214,1698,DALLAS,Supermarket,32.85598,-96.749344,79838
944731,Aldi 42,4120 Gaston Ave,Dallas,TX,75246,1409,DALLAS,Supermarket,32.794353,-96.775429,79841
944733,Aldi 58,2926 Belt Line Rd,Irving,TX,75062,5247,DALLAS,Supermarket,32.846554,-96.992188,79848
944734,Aldi 70,424 E Pioneer Pkwy,Grand Prairie,TX,75051,4943,DALLAS,Supermarket,32.709579,-96.999352,79852
944738,Aldi 32,3500 Lakeview Pkwy,Rowlett,TX,75088,4005,DALLAS,Supermarket,32.906593,-96.568649,79864
944740,Aldi 34,1549 E Belt Line Rd,Richardson,TX,75081,4630,DALLAS,Supermarket,32.945438,-96.696663,79872
910135,El Rancho 1619,2550 Gus Thomasson Rd,Dallas,TX,75228,3017,DALLAS,Super Store,32.834724,-96.671883,80508
763337,Target Store 947,9440 Marsh Ln,Dallas,TX,75220,4924,DALLAS,Super Store,32.861778,-96.855225,80610
763350,TARGET STORE T 1116,554 W Interstate 20,Grand Prairie,TX,75052,6932,DALLAS,Super Store,32.678349,-97.010071,80624
763351,Target Store 1032,7845 N Macarthur Blvd,Irving,TX,75063,7516,DALLAS,Super Store,32.913502,-96.962479,80630
1041160,Afribbean Market 2,2717 E Belt Line Rd,Carrollton,TX,75006,5437,DALLAS,Other,32.953308,-96.859512,81207
1042149,HEB Central Market 653,10720 Preston Rd,Dallas,TX,75230,8818,DALLAS,Supermarket,32.893948,-96.802803,81774
864314,INDIAN SUPERSTORE 1,3555 Murphy Rd,Richardson,TX,75082,5216,DALLAS,Other,32.999821,-96.613251,82448
1297150,La Azteca Meat Market 11,4611 Columbia Ave,Dallas,TX,75226,2304,DALLAS,Grocery Store,32.793037,-96.76635,82758
910404,Viva Food Market,6760 Shadybrook Ln,Dallas,TX,75231,6508,DALLAS,Grocery Store,32.868118,-96.762985,84336
912839,Vitamin Cottage Natural Food Market U028,677 W Campbell Rd,Richardson,TX,75080,3302,DALLAS,Supermarket,32.978062,-96.742973,84562
864993,Sam's Club 6482,5555 S Buckner Blvd,Dallas,TX,75228,6193,DALLAS,Super Store,32.793835,-96.687057,85115
865038,Sam's Club 8242,12000 McCree Rd,Dallas,TX,75238,5299,DALLAS,Super Store,32.867867,-96.675491,85131
865068,Sam's Club 8248,9461 Webb Chapel Rd,Dallas,TX,75220,    ,DALLAS,Super Store,32.862274,-96.86084,85151
865135,Sam's Club 4783,5150 N Garland Ave,Garland,TX,75040,2711,DALLAS,Super Store,32.961029,-96.644211,85189
865171,Sam's Club 8269,2325 W Interstate 20,Grand Prairie,TX,75052,3927,DALLAS,Super Store,32.675461,-97.036896,85200
865188,Sam's Club 6372,6185 Retail Rd,Dallas,TX,75231,7807,DALLAS,Super Store,32.861755,-96.754166,85209
865198,Sam's Club 8282,2900 W Wheatland Rd,Dallas,TX,75237,3535,DALLAS,Super Store,32.647472,-96.866882,85233
865202,Sam's Club 6265,1213 Market Place Blvd,Irving,TX,75063,    ,DALLAS,Super Store,32.919994,-96.962311,85342
960093,Aldi 64,333 S Cedar Ridge Dr,Duncanville,TX,75116,4526,DALLAS,Supermarket,32.647968,-96.926315,85983
