TractFIPS,final_income_mobility_composite,final_health_composite,income_mobility_pct,health_pct
48029110100,0.1132075471698113,0.4137466307277628,11.32075471698113,41.37466307277628
48029110300,0.1159029649595687,0.7142857142857143,11.59029649595687,71.42857142857143
48029110500,0.0053908355795148,0.8261455525606469,0.53908355795148,82.61455525606469
48029110600,0.0026954177897574,0.9514824797843666,0.26954177897574,95.14824797843666
48029110700,0.1778975741239892,0.973045822102426,17.78975741239892,97.3045822102426
48029111000,0.2318059299191374,0.4393530997304582,23.18059299191374,43.93530997304582
48029111100,0.4636118598382749,0.1064690026954177,46.36118598382749,10.64690026954177
48029120100,0.9164420485175202,0.0053908355795148,91.64420485175202,0.53908355795148
48029120301,0.8032345013477089,0.1563342318059299,80.3234501347709,15.63342318059299
48029120302,1.0,0.320754716981132,100.0,32.0754716981132
48029120401,0.8814016172506739,0.7331536388140162,88.14016172506739,73.31536388140162
48029120402,,0.1752021563342318,,17.52021563342318
48029120502,0.2345013477088948,0.7264150943396226,23.45013477088948,72.64150943396226
48029120503,0.2452830188679245,0.6738544474393531,24.528301886792452,67.38544474393531
48029120504,0.6900269541778976,0.7210242587601078,69.00269541778977,72.10242587601078
48029120601,0.3018867924528302,0.3261455525606469,30.18867924528302,32.61455525606469
48029120602,0.522911051212938,0.0754716981132075,52.2911051212938,7.54716981132075
48029120701,0.3369272237196765,0.4204851752021563,33.69272237196765,42.048517520215626
48029120702,0.7142857142857143,0.5148247978436657,71.42857142857143,51.482479784366575
48029120800,0.7978436657681941,0.2371967654986523,79.78436657681941,23.71967654986523
48029120901,0.3962264150943396,0.7088948787061995,39.62264150943396,70.88948787061994
48029120902,0.3692722371967655,0.4541778975741239,36.92722371967655,45.41778975741239
48029121000,0.4231805929919137,0.5121293800539084,42.31805929919137,51.21293800539084
48029121110,0.6711590296495957,0.2991913746630728,67.11590296495957,29.919137466307276
48029121111,0.7520215633423181,0.3746630727762803,75.2021563342318,37.46630727762803
48029121112,0.3450134770889488,0.5646900269541779,34.50134770889488,56.46900269541779
48029121115,0.4258760107816711,0.5215633423180593,42.58760107816711,52.156334231805936
48029121116,0.3423180592991914,0.3692722371967655,34.23180592991914,36.92722371967655
48029121117,0.3180592991913746,0.3504043126684636,31.80592991913746,35.04043126684636
48029121118,0.816711590296496,0.3450134770889488,81.6711590296496,34.50134770889488
48029121119,0.8328840970350404,0.2722371967654987,83.28840970350404,27.22371967654987
48029121120,0.7439353099730458,0.3800539083557951,74.39353099730458,38.00539083557951
48029121121,0.9622641509433962,0.4986522911051212,96.22641509433963,49.86522911051212
48029121122,0.6226415094339622,0.431266846361186,62.264150943396224,43.126684636118604
48029121123,0.3153638814016172,0.5592991913746631,31.53638814016172,55.929919137466314
48029121124,0.6684636118598383,0.3719676549865229,66.84636118598382,37.19676549865229
48029121203,0.477088948787062,0.6954177897574124,47.7088948787062,69.54177897574124
48029121204,0.1752021563342318,0.5902964959568733,17.52021563342318,59.02964959568733
48029121205,0.1563342318059299,0.4541778975741239,15.63342318059299,45.41778975741239
48029121206,0.6199460916442049,0.7169811320754716,61.99460916442049,71.69811320754717
48029121300,0.7789757412398922,0.6442048517520216,77.89757412398922,64.42048517520216
48029121402,0.3045822102425876,0.3638814016172507,30.45822102425876,36.38814016172507
48029121403,0.1401617250673854,0.5309973045822103,14.016172506738538,53.09973045822103
48029121404,0.013477088948787,0.8342318059299192,1.3477088948787,83.42318059299191
48029121501,0.7466307277628033,0.3234501347708894,74.66307277628033,32.34501347708894
48029121504,0.5336927223719676,0.4703504043126684,53.36927223719676,47.035040431266836
48029121505,0.5849056603773585,0.4595687331536388,58.490566037735846,45.95687331536388
48029121506,0.633423180592992,0.8032345013477089,63.342318059299195,80.3234501347709
48029121507,0.5606469002695418,0.6495956873315364,56.06469002695418,64.95956873315365
48029121508,0.6118598382749326,0.6792452830188679,61.18598382749326,67.9245283018868
48029121601,0.7088948787061995,0.4595687331536388,70.88948787061994,45.95687331536388
48029121604,0.8463611859838275,0.2681940700808625,84.63611859838275,26.819407008086248
48029121605,0.3611859838274933,0.6145552560646901,36.118598382749326,61.45552560646901
48029121606,0.2425876010781671,0.3450134770889488,24.25876010781671,34.50134770889488
48029121701,0.7951482479784366,0.6307277628032345,79.51482479784366,63.07277628032345
48029121702,0.7304582210242587,0.5822102425876011,73.04582210242587,58.22102425876011
48029121802,0.4878706199460916,0.215633423180593,48.78706199460916,21.563342318059302
48029121803,0.692722371967655,0.5013477088948787,69.2722371967655,50.13477088948787
48029121804,0.4609164420485175,0.568733153638814,46.091644204851754,56.8733153638814
48029121808,0.3719676549865229,0.4258760107816711,37.19676549865229,42.58760107816711
48029121809,0.8247978436657682,0.4474393530997305,82.47978436657682,44.74393530997305
48029121810,0.9407008086253368,0.2398921832884097,94.07008086253367,23.98921832884097
48029121811,0.4501347708894879,0.0956873315363881,45.01347708894879,9.56873315363881
48029121812,0.8274932614555256,0.3584905660377358,82.74932614555256,35.84905660377358
48029121813,0.908355795148248,0.3099730458221024,90.8355795148248,30.99730458221024
48029121903,0.9487870619946092,0.2277628032345013,94.87870619946092,22.77628032345013
48029121904,0.9433962264150944,0.0619946091644204,94.33962264150944,6.19946091644204
48029121905,0.9056603773584906,0.1778975741239892,90.56603773584906,17.78975741239892
48029121906,0.6657681940700808,0.1064690026954177,66.57681940700809,10.64690026954177
48029121908,0.7196765498652291,0.2830188679245283,71.96765498652292,28.30188679245283
48029121909,0.9110512129380054,0.0889487870619946,91.10512129380054,8.89487870619946
48029121910,0.8840970350404312,0.1307277628032345,88.40970350404312,13.07277628032345
48029121911,0.9784366576819408,0.0431266846361186,97.84366576819407,4.31266846361186
48029121912,0.8544474393530997,0.045822102425876,85.44474393530997,4.5822102425876
48029130200,0.0539083557951482,0.6172506738544474,5.39083557951482,61.725067385444746
48029130300,0.2964959568733153,0.816711590296496,29.64959568733153,81.6711590296496
48029130401,0.0754716981132075,0.9056603773584906,7.54716981132075,90.56603773584906
48029130402,0.1024258760107816,0.9865229110512128,10.24258760107816,98.65229110512128
48029130500,0.1509433962264151,0.8086253369272237,15.09433962264151,80.86253369272237
48029130600,0.0646900269541779,0.7439353099730458,6.46900269541779,74.39353099730458
48029130700,0.0242587601078167,0.935309973045822,2.42587601078167,93.5309973045822
48029130800,0.059299191374663,0.9784366576819408,5.9299191374663005,97.84366576819407
48029130900,0.2991913746630728,0.7762803234501348,29.919137466307276,77.62803234501348
48029131000,0.0350404312668463,0.9824797843665768,3.5040431266846297,98.24797843665768
48029131100,0.0700808625336927,0.9946091644204852,7.008086253369269,99.46091644204851
48029131200,0.0404312668463611,0.7964959568733153,4.04312668463611,79.64959568733153
48029131300,0.6064690026954178,0.784366576819407,60.64690026954178,78.4366576819407
48029131401,0.8113207547169812,0.2857142857142857,81.13207547169812,28.57142857142857
48029131402,0.7574123989218329,0.692722371967655,75.74123989218329,69.2722371967655
48029131503,0.2911051212938005,0.6212938005390836,29.11051212938005,62.129380053908356
48029131504,0.2533692722371967,0.5256064690026954,25.33692722371967,52.56064690026954
48029131505,0.8867924528301887,0.1617250673854447,88.67924528301887,16.17250673854447
48029131506,0.6792452830188679,0.2318059299191374,67.9245283018868,23.18059299191374
48029131507,0.4474393530997305,0.6118598382749326,44.74393530997305,61.18598382749326
48029131601,0.876010781671159,0.2924528301886792,87.6010781671159,29.24528301886792
48029131606,0.7816711590296496,0.2466307277628032,78.16711590296495,24.66307277628032
48029131608,0.7601078167115903,0.477088948787062,76.01078167115904,47.7088948787062
48029131609,0.4582210242587601,0.3827493261455525,45.82210242587601,38.274932614555254
48029131610,0.5390835579514824,0.3773584905660377,53.908355795148246,37.73584905660377
48029131612,0.7277628032345014,0.1347708894878706,72.77628032345014,13.477088948787062
48029131614,0.5876010781671159,0.2964959568733153,58.760107816711596,29.64959568733153
48029131615,0.7008086253369272,0.3396226415094339,70.08086253369272,33.96226415094339
48029131616,0.3665768194070081,0.5053908355795148,36.65768194070081,50.53908355795148
48029131700,0.8517520215633423,0.0107816711590296,85.17520215633422,1.07816711590296
48029131801,0.8409703504043127,0.555256064690027,84.09703504043127,55.525606469002696
48029131802,0.6037735849056604,0.5175202156334232,60.37735849056604,51.75202156334232
48029140100,0.3881401617250674,0.706199460916442,38.81401617250674,70.61994609164421
48029140200,0.1239892183288409,0.7398921832884097,12.39892183288409,73.98921832884096
48029140300,0.0835579514824797,0.944743935309973,8.35579514824797,94.4743935309973
48029140400,0.2560646900269542,0.5727762803234502,25.60646900269542,57.27762803234502
48029140500,0.5309973045822103,0.8490566037735849,53.09973045822103,84.90566037735849
48029140600,0.3584905660377358,0.8787061994609164,35.84905660377358,87.87061994609164
48029140700,0.307277628032345,0.7789757412398922,30.727762803234498,77.89757412398922
48029140800,0.4285714285714285,0.8584905660377359,42.85714285714285,85.84905660377359
48029140900,0.0808625336927223,0.8867924528301887,8.08625336927223,88.67924528301887
48029141000,0.0215633423180593,0.8261455525606469,2.15633423180593,82.61455525606469
48029141101,0.0673854447439353,0.894878706199461,6.738544474393531,89.4878706199461
48029141102,0.045822102425876,0.8584905660377359,4.5822102425876,85.84905660377359
48029141200,0.1725067385444744,0.8975741239892183,17.25067385444744,89.75741239892183
48029141300,0.1320754716981132,0.7398921832884097,13.20754716981132,73.98921832884096
48029141402,0.7924528301886793,0.2102425876010781,79.24528301886792,21.024258760107813
48029141403,0.137466307277628,0.6024258760107817,13.7466307277628,60.24258760107817
48029141404,0.1940700808625337,0.7924528301886793,19.40700808625337,79.24528301886792
48029141600,0.6954177897574124,0.4797843665768194,69.54177897574124,47.97843665768194
48029141700,0.8382749326145552,0.4703504043126684,83.82749326145552,47.035040431266836
48029141800,0.7169811320754716,0.6522911051212938,71.69811320754717,65.22911051212938
48029141900,0.5983827493261455,0.6684636118598383,59.83827493261455,66.84636118598382
48029150100,0.3908355795148248,0.5390835579514824,39.083557951482476,53.908355795148246
48029150300,0.2668463611859838,0.876010781671159,26.68463611859838,87.6010781671159
48029150400,0.3746630727762803,0.8005390835579514,37.46630727762803,80.05390835579514
48029150501,0.6145552560646901,0.8706199460916442,61.45552560646901,87.06199460916442
48029150502,0.1347708894878706,0.7816711590296496,13.477088948787062,78.16711590296495
48029150600,0.2210242587601078,0.8814016172506739,22.10242587601078,88.14016172506739
48029150700,0.4663072776280323,0.8207547169811321,46.63072776280323,82.0754716981132
48029150800,0.0269541778975741,0.9892183288409704,2.69541778975741,98.92183288409704
48029150900,0.1859838274932614,0.9002695417789758,18.598382749326138,90.02695417789758
48029151000,0.2129380053908355,0.7897574123989218,21.29380053908355,78.97574123989219
48029151100,0.5768194070080862,0.9595687331536388,57.68194070080862,95.95687331536388
48029151200,0.353099730458221,0.6388140161725068,35.309973045822105,63.881401617250674
48029151301,0.2264150943396226,0.8059299191374663,22.64150943396226,80.59299191374663
48029151302,0.6091644204851752,0.6711590296495957,60.91644204851752,67.11590296495957
48029151400,0.4177897574123989,0.7466307277628033,41.77897574123989,74.66307277628033
48029151500,0.215633423180593,0.7506738544474394,21.563342318059302,75.06738544474393
48029151600,0.3315363881401617,0.5956873315363881,33.15363881401617,59.56873315363881
48029151700,0.6253369272237197,0.6064690026954178,62.53369272237197,60.64690026954178
48029151900,0.490566037735849,0.4919137466307278,49.056603773584904,49.19137466307278
48029152000,0.4043126684636118,0.137466307277628,40.43126684636118,13.7466307277628
48029152100,0.7223719676549866,0.6469002695417789,72.23719676549865,64.6900269541779
48029152201,0.3477088948787062,0.683288409703504,34.77088948787062,68.3288409703504
48029152202,0.398921832884097,0.5094339622641509,39.8921832884097,50.943396226415096
48029160100,0.0188679245283018,0.908355795148248,1.8867924528301798,90.8355795148248
48029160200,0.3288409703504043,0.8409703504043127,32.88409703504043,84.09703504043127
48029160300,0.4339622641509434,0.8652291105121294,43.39622641509434,86.52291105121293
48029160400,0.3935309973045822,0.9326145552560648,39.35309973045822,93.26145552560648
48029160501,0.0566037735849056,0.9973045822102424,5.66037735849056,99.73045822102424
48029160502,0.5822102425876011,0.9245283018867924,58.22102425876011,92.45283018867923
48029160600,0.431266846361186,0.9407008086253368,43.126684636118604,94.07008086253367
48029160701,0.4959568733153638,0.9568733153638814,49.59568733153638,95.68733153638814
48029160702,0.2695417789757412,0.9703504043126684,26.954177897574123,97.03504043126684
48029160901,0.3396226415094339,0.889487870619946,33.96226415094339,88.94878706199461
