GEO_ID,NAME,B01003_001E,B01003_001M
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total
1400000US48201232404,Census Tract 2324.04; Harris County; Texas,3969,654
1400000US48201232405,Census Tract 2324.05; Harris County; Texas,6431,791
1400000US48201232500,Census Tract 2325; Harris County; Texas,4397,793
1400000US48201232600,Census Tract 2326; Harris County; Texas,2568,340
1400000US48201232701,Census Tract 2327.01; Harris County; Texas,7134,1088
1400000US48201232703,Census Tract 2327.03; Harris County; Texas,2693,567
1400000US48201232704,Census Tract 2327.04; Harris County; Texas,1906,531
1400000US48201232801,Census Tract 2328.01; Harris County; Texas,2807,471
1400000US48201232802,Census Tract 2328.02; Harris County; Texas,2832,411
1400000US48201232901,Census Tract 2329.01; Harris County; Texas,4348,1606
1400000US48201232902,Census Tract 2329.02; Harris County; Texas,4665,906
1400000US48201233001,Census Tract 2330.01; Harris County; Texas,4148,653
1400000US48201233002,Census Tract 2330.02; Harris County; Texas,3994,668
1400000US48201233003,Census Tract 2330.03; Harris County; Texas,2790,418
1400000US48201233101,Census Tract 2331.01; Harris County; Texas,4399,507
1400000US48201233103,Census Tract 2331.03; Harris County; Texas,5036,755
1400000US48201233104,Census Tract 2331.04; Harris County; Texas,2554,479
1400000US48201233105,Census Tract 2331.05; Harris County; Texas,4595,1160
1400000US48201233200,Census Tract 2332; Harris County; Texas,6294,1142
1400000US48201233300,Census Tract 2333; Harris County; Texas,4436,1021
1400000US48201233400,Census Tract 2334; Harris County; Texas,2760,389
1400000US48201233501,Census Tract 2335.01; Harris County; Texas,3729,613
1400000US48201233502,Census Tract 2335.02; Harris County; Texas,2943,477
1400000US48201233600,Census Tract 2336; Harris County; Texas,2115,419
1400000US48201233701,Census Tract 2337.01; Harris County; Texas,4630,745
1400000US48201233702,Census Tract 2337.02; Harris County; Texas,3057,622
1400000US48201233703,Census Tract 2337.03; Harris County; Texas,2699,642
1400000US48201240101,Census Tract 2401.01; Harris County; Texas,2243,548
1400000US48201240102,Census Tract 2401.02; Harris County; Texas,1689,572
1400000US48201240400,Census Tract 2404; Harris County; Texas,7620,1442
1400000US48201240503,Census Tract 2405.03; Harris County; Texas,2731,1004
1400000US48201240504,Census Tract 2405.04; Harris County; Texas,2888,942
1400000US48201240505,Census Tract 2405.05; Harris County; Texas,1556,521
1400000US48201240506,Census Tract 2405.06; Harris County; Texas,5441,837
1400000US48201240600,Census Tract 2406; Harris County; Texas,3500,1245
1400000US48201240703,Census Tract 2407.03; Harris County; Texas,6277,918
1400000US48201240704,Census Tract 2407.04; Harris County; Texas,4650,895
1400000US48201240705,Census Tract 2407.05; Harris County; Texas,5463,795
1400000US48201240706,Census Tract 2407.06; Harris County; Texas,11268,1716
1400000US48201240707,Census Tract 2407.07; Harris County; Texas,5251,865
1400000US48201240802,Census Tract 2408.02; Harris County; Texas,8990,1504
1400000US48201240803,Census Tract 2408.03; Harris County; Texas,2325,596
1400000US48201240804,Census Tract 2408.04; Harris County; Texas,2993,553
1400000US48201240903,Census Tract 2409.03; Harris County; Texas,6344,1056
1400000US48201240904,Census Tract 2409.04; Harris County; Texas,9142,1318
1400000US48201240905,Census Tract 2409.05; Harris County; Texas,5370,1626
1400000US48201240906,Census Tract 2409.06; Harris County; Texas,8525,898
1400000US48201241001,Census Tract 2410.01; Harris County; Texas,3587,583
1400000US48201241002,Census Tract 2410.02; Harris County; Texas,5504,1167
1400000US48201241101,Census Tract 2411.01; Harris County; Texas,4538,689
1400000US48201241103,Census Tract 2411.03; Harris County; Texas,5775,913
1400000US48201241104,Census Tract 2411.04; Harris County; Texas,11688,2245
1400000US48201241105,Census Tract 2411.05; Harris County; Texas,5514,1661
