,StateAbbr,CountyName,TractFIPS,DIABETES_CrudePrev,DIABETES_Crude95CI,CHD_CrudePrev,diabetes_pct_rank,chd_pct_rank,raw_composite_rank,final_health_composite
0,TX,Tarrant,48439100101,14.7,"(13.0, 16.5)",5.7,0.8042505592841164,0.6431767337807607,0.7237136465324385,0.7483221476510067
1,TX,Tarrant,48439100102,13.3,"(11.6, 15.2)",5.9,0.7192393736017897,0.6901565995525727,0.7046979865771812,0.7315436241610739
2,TX,Tarrant,48439100201,19.7,"(17.5, 21.9)",7.6,0.9653243847874721,0.9552572706935123,0.9602908277404922,0.9731543624161074
3,TX,Tarrant,48439100202,17.4,"(15.3, 19.5)",6.7,0.9217002237136466,0.8411633109619687,0.8814317673378076,0.9026845637583892
4,TX,Tarrant,48439100300,15.7,"(13.9, 17.4)",5.9,0.8590604026845637,0.6901565995525727,0.7746085011185682,0.814317673378076
5,TX,Tarrant,48439100401,19.2,"(17.1, 21.3)",7.2,0.9552572706935123,0.9082774049217002,0.9317673378076062,0.9440715883668904
6,TX,Tarrant,48439100402,16.6,"(14.5, 18.7)",6.1,0.8937360178970917,0.7472035794183445,0.8204697986577181,0.8478747203579419
7,TX,Tarrant,48439100503,16.7,"(14.7, 18.7)",6.5,0.8982102908277405,0.8109619686800895,0.854586129753915,0.87248322147651
8,TX,Tarrant,48439100504,17.3,"(15.4, 19.3)",7.3,0.9194630872483222,0.9149888143176734,0.9172259507829978,0.9284116331096197
9,TX,Tarrant,48439100505,15.7,"(13.9, 17.5)",6.9,0.8590604026845637,0.8736017897091722,0.866331096196868,0.8903803131991052
10,TX,Tarrant,48439100506,15.5,"(13.7, 17.3)",5.5,0.8445190156599552,0.5861297539149888,0.715324384787472,0.7404921700223713
11,TX,Tarrant,48439100601,10.8,"( 9.5, 12.2)",5.8,0.41498881431767337,0.6599552572706935,0.5374720357941835,0.5380313199105146
12,TX,Tarrant,48439100602,11.7,"(10.3, 13.1)",4.7,0.5514541387024608,0.3378076062639821,0.4446308724832215,0.4395973154362416
13,TX,Tarrant,48439100700,12.6,"(11.0, 14.4)",5.8,0.6655480984340044,0.6599552572706935,0.662751677852349,0.674496644295302
14,TX,Tarrant,48439100800,17.8,"(15.6, 20.2)",7.0,0.9284116331096197,0.883668903803132,0.9060402684563759,0.9239373601789709
15,TX,Tarrant,48439100900,22.0,"(19.3, 24.5)",9.3,0.9888143176733781,0.9910514541387024,0.9899328859060403,0.9899328859060402
16,TX,Tarrant,48439101201,12.6,"(11.0, 14.2)",5.6,0.6655480984340044,0.6196868008948546,0.6426174496644295,0.6487695749440716
17,TX,Tarrant,48439101202,14.3,"(12.4, 16.1)",5.6,0.7829977628635347,0.6196868008948546,0.7013422818791947,0.7293064876957495
18,TX,Tarrant,48439101301,16.3,"(14.5, 18.2)",6.9,0.8825503355704698,0.8736017897091722,0.878076062639821,0.8970917225950783
19,TX,Tarrant,48439101302,22.1,"(19.9, 24.3)",9.5,0.9910514541387024,0.9977628635346756,0.994407158836689,0.9932885906040269
20,TX,Tarrant,48439101401,15.2,"(13.5, 17.1)",6.8,0.8322147651006712,0.8579418344519015,0.8450782997762863,0.8612975391498882
21,TX,Tarrant,48439101402,17.2,"(15.2, 19.2)",6.6,0.9172259507829977,0.8266219239373602,0.871923937360179,0.8937360178970917
22,TX,Tarrant,48439101403,20.1,"(18.1, 22.3)",7.9,0.9686800894854586,0.9686800894854586,0.9686800894854586,0.9753914988814317
23,TX,Tarrant,48439101500,15.8,"(13.9, 17.7)",6.8,0.8668903803131991,0.8579418344519015,0.8624161073825503,0.8814317673378076
24,TX,Tarrant,48439101700,24.1,"(21.7, 26.6)",10.0,0.9977628635346756,1.0,0.9988814317673378,1.0
25,TX,Tarrant,48439102000,5.4,"( 4.7,  6.2)",2.9,0.006711409395973154,0.035794183445190156,0.021252796420581654,0.020134228187919462
26,TX,Tarrant,48439102101,8.2,"( 7.1,  9.5)",4.5,0.08165548098434004,0.30648769574944074,0.1940715883668904,0.17002237136465326
27,TX,Tarrant,48439102102,12.1,"(10.5, 13.8)",6.0,0.6118568232662193,0.7237136465324385,0.667785234899329,0.6789709172259508
28,TX,Tarrant,48439102201,11.0,"( 9.5, 12.6)",6.2,0.4541387024608501,0.7628635346756152,0.6085011185682326,0.610738255033557
29,TX,Tarrant,48439102202,8.9,"( 7.5, 10.4)",5.1,0.1487695749440716,0.4519015659955257,0.30033557046979864,0.2695749440715884
30,TX,Tarrant,48439102301,16.5,"(14.5, 18.3)",7.3,0.889261744966443,0.9149888143176734,0.9021252796420582,0.9217002237136466
31,TX,Tarrant,48439102302,14.8,"(12.9, 16.7)",6.6,0.8131991051454138,0.8266219239373602,0.819910514541387,0.8456375838926175
32,TX,Tarrant,48439102401,10.0,"( 8.7, 11.5)",5.0,0.30648769574944074,0.42393736017897093,0.36521252796420584,0.348993288590604
33,TX,Tarrant,48439102402,10.7,"( 9.1, 12.3)",6.1,0.3959731543624161,0.7472035794183445,0.5715883668903803,0.5816554809843401
34,TX,Tarrant,48439102500,20.2,"(18.0, 22.6)",7.5,0.9720357941834452,0.9407158836689038,0.9563758389261745,0.9619686800894854
35,TX,Tarrant,48439102601,11.4,"( 9.9, 12.9)",5.0,0.5156599552572707,0.42393736017897093,0.4697986577181208,0.46756152125279643
36,TX,Tarrant,48439102602,11.4,"(10.0, 13.0)",5.2,0.5156599552572707,0.48210290827740493,0.4988814317673378,0.4888143176733781
37,TX,Tarrant,48439102700,8.5,"( 7.3,  9.9)",4.4,0.10738255033557047,0.28635346756152125,0.19686800894854586,0.18008948545861297
38,TX,Tarrant,48439103500,16.3,"(14.4, 18.3)",6.1,0.8825503355704698,0.7472035794183445,0.8148769574944071,0.8389261744966443
39,TX,Tarrant,48439103601,18.0,"(16.1, 20.0)",6.6,0.9362416107382551,0.8266219239373602,0.8814317673378076,0.9026845637583892
40,TX,Tarrant,48439103602,19.6,"(17.3, 22.0)",7.4,0.9608501118568232,0.9250559284116331,0.9429530201342282,0.9530201342281879
41,TX,Tarrant,48439103701,17.0,"(15.2, 19.0)",6.1,0.9093959731543624,0.7472035794183445,0.8282997762863534,0.8523489932885906
42,TX,Tarrant,48439103702,18.4,"(16.4, 20.4)",6.8,0.9440715883668904,0.8579418344519015,0.901006711409396,0.9194630872483222
43,TX,Tarrant,48439103800,20.2,"(18.0, 22.2)",7.5,0.9720357941834452,0.9407158836689038,0.9563758389261745,0.9619686800894854
44,TX,Tarrant,48439104100,9.7,"( 8.4, 11.0)",4.4,0.25615212527964204,0.28635346756152125,0.27125279642058164,0.24720357941834453
45,TX,Tarrant,48439104202,9.0,"( 7.7, 10.3)",4.8,0.15883668903803133,0.3624161073825503,0.2606263982102908,0.23825503355704697
46,TX,Tarrant,48439104203,2.2,"( 1.9,  2.5)",1.0,0.0022371364653243847,0.0022371364653243847,0.0022371364653243847,0.0022371364653243847
47,TX,Tarrant,48439104204,8.4,"( 7.1,  9.8)",4.9,0.09843400447427293,0.39373601789709173,0.24608501118568232,0.22371364653243847
48,TX,Tarrant,48439104301,4.8,"( 4.2,  5.5)",2.4,0.0044742729306487695,0.010067114093959731,0.00727069351230425,0.0044742729306487695
49,TX,Tarrant,48439104302,7.3,"( 6.2,  8.4)",3.8,0.03131991051454139,0.1644295302013423,0.09787472035794184,0.08277404921700224
50,TX,Tarrant,48439104400,12.6,"(11.1, 14.3)",5.5,0.6655480984340044,0.5861297539149888,0.6258389261744965,0.6353467561521253
51,TX,Tarrant,48439104502,16.3,"(14.5, 18.1)",6.0,0.8825503355704698,0.7237136465324385,0.8031319910514542,0.8322147651006712
52,TX,Tarrant,48439104503,16.9,"(15.0, 19.0)",6.5,0.9060402684563759,0.8109619686800895,0.8585011185682327,0.8747203579418344
53,TX,Tarrant,48439104504,20.7,"(18.6, 23.1)",8.8,0.9798657718120806,0.9832214765100671,0.9815436241610738,0.9821029082774049
54,TX,Tarrant,48439104505,21.8,"(19.7, 24.0)",8.5,0.9865771812080537,0.9798657718120806,0.9832214765100671,0.9843400447427293
55,TX,Tarrant,48439104601,20.3,"(18.2, 22.5)",7.5,0.9765100671140939,0.9407158836689038,0.9586129753914989,0.970917225950783
56,TX,Tarrant,48439104602,19.7,"(17.7, 21.9)",7.5,0.9653243847874721,0.9407158836689038,0.9530201342281879,0.9574944071588367
57,TX,Tarrant,48439104603,19.6,"(17.5, 21.8)",7.6,0.9608501118568232,0.9552572706935123,0.9580536912751678,0.9675615212527964
58,TX,Tarrant,48439104604,19.0,"(17.0, 21.0)",7.1,0.9530201342281879,0.8959731543624161,0.924496644295302,0.9395973154362416
59,TX,Tarrant,48439104605,18.9,"(16.7, 21.1)",7.4,0.9507829977628636,0.9250559284116331,0.9379194630872483,0.9485458612975392
60,TX,Tarrant,48439104701,14.5,"(12.8, 16.4)",5.4,0.7897091722595079,0.5480984340044742,0.668903803131991,0.6823266219239373
61,TX,Tarrant,48439104702,19.4,"(17.2, 21.7)",7.6,0.9574944071588367,0.9552572706935123,0.9563758389261745,0.9619686800894854
62,TX,Tarrant,48439104802,16.8,"(15.0, 18.7)",6.7,0.9026845637583892,0.8411633109619687,0.871923937360179,0.8937360178970917
63,TX,Tarrant,48439104803,15.4,"(13.5, 17.6)",5.7,0.8411633109619687,0.6431767337807607,0.7421700223713648,0.7718120805369127
64,TX,Tarrant,48439104804,15.9,"(14.1, 17.7)",5.8,0.87248322147651,0.6599552572706935,0.7662192393736018,0.8008948545861297
65,TX,Tarrant,48439104900,14.0,"(12.3, 15.8)",5.4,0.7706935123042505,0.5480984340044742,0.6593959731543624,0.668903803131991
66,TX,Tarrant,48439105007,8.6,"( 7.4,  9.7)",3.7,0.11409395973154363,0.14988814317673377,0.1319910514541387,0.12527964205816555
67,TX,Tarrant,48439105008,10.5,"( 9.1, 11.9)",4.2,0.3680089485458613,0.23937360178970918,0.30369127516778527,0.2785234899328859
